,id,type,geometry_name,geometry.type,geometry.coordinates,properties.longitude,properties.latitude,properties.satelite,properties.pais,properties.estado,properties.municipio,properties.data_hora_gmt,properties.risco_fogo,properties.precipitacao,properties.numero_dias_sem_chuva
0,focos_ams_24h.064a7c81-dfdc-340a-b8cd-aed5f05b5b4e,Feature,geom,Point,"[-69.36, 7.82]",-69.36,7.82,GOES-16,Venezuela,Apure,Muñoz,2021-12-30T18:26:22+00:00,,,
1,focos_ams_24h.9a5984c9-3b71-393f-930e-977bc087c0a7,Feature,geom,Point,"[-69.96, 5.48]",-69.96,5.48,GOES-16,Colombia,Vichada,La Primavera,2021-12-30T18:26:06+00:00,,,
2,focos_ams_24h.45b32850-8da3-3ebd-9154-fc2e5a430538,Feature,geom,Point,"[-72.35, 3.82]",-72.35,3.82,GOES-16,Colombia,Meta,Puerto López,2021-12-30T18:25:55+00:00,,,
3,focos_ams_24h.10ef09ce-1e5d-3118-827d-26d97f994108,Feature,geom,Point,"[-71.9, 3.54]",-71.9,3.54,GOES-16,Colombia,Meta,Puerto Gaitán,2021-12-30T18:25:53+00:00,,,
4,focos_ams_24h.d946955c-02c5-3313-815d-3d28c1b97c3a,Feature,geom,Point,"[-73.56, 2.78]",-73.56,2.78,GOES-16,Colombia,Meta,Vista Hermosa,2021-12-30T18:25:47+00:00,,,
5,focos_ams_24h.6dcfb0e6-1934-38fe-acea-99788b6e7585,Feature,geom,Point,"[-73.56, 2.8]",-73.56,2.8,GOES-16,Colombia,Meta,Vista Hermosa,2021-12-30T18:25:47+00:00,,,
6,focos_ams_24h.e1ec7110-f426-39c9-970c-565ca7e04f21,Feature,geom,Point,"[-74.3, 1.45]",-74.3,1.45,GOES-16,Colombia,Caquetá,San Vicente del Caguán,2021-12-30T18:25:39+00:00,,,
7,focos_ams_24h.fcfae4d6-f987-33da-85a2-a63c4b7244a3,Feature,geom,Point,"[-74.3, 1.47]",-74.3,1.47,GOES-16,Colombia,Caquetá,San Vicente del Caguán,2021-12-30T18:25:39+00:00,,,
8,focos_ams_24h.87919a62-e39e-3f8c-bc13-ea493ccddbce,Feature,geom,Point,"[-74.14, 0.58]",-74.14,0.58,GOES-16,Colombia,Caquetá,Cartagena del Chairá,2021-12-30T18:25:34+00:00,,,
9,focos_ams_24h.a09d3ffe-7cfc-3e33-892c-89b844f6a8cc,Feature,geom,Point,"[-74.16, 0.58]",-74.16,0.58,GOES-16,Colombia,Caquetá,Cartagena del Chairá,2021-12-30T18:25:34+00:00,,,
10,focos_ams_24h.39989383-e00f-375e-834d-e09a2342e8b6,Feature,geom,Point,"[-74.14, 0.57]",-74.14,0.57,GOES-16,Colombia,Caquetá,Cartagena del Chairá,2021-12-30T18:25:31+00:00,,,
11,focos_ams_24h.2ebb6dd6-2d25-3f72-9ee5-1261b6a1b302,Feature,geom,Point,"[-55.55, -2.44]",-55.55,-2.44,GOES-16,Brasil,PARÁ,SANTARÉM,2021-12-30T18:25:13+00:00,,,
12,focos_ams_24h.fe62691e-0ad1-3de7-86d0-ac1b1e163866,Feature,geom,Point,"[-55.57, -2.44]",-55.57,-2.44,GOES-16,Brasil,PARÁ,SANTARÉM,2021-12-30T18:25:13+00:00,,,
13,focos_ams_24h.09ee6cb8-0032-334c-aeac-d70974e21937,Feature,geom,Point,"[-44.57, -2.38]",-44.57,-2.38,GOES-16,Brasil,MARANHÃO,ALCÂNTARA,2021-12-30T18:25:13+00:00,,,
14,focos_ams_24h.a095c0d3-6988-357f-9c21-2e90b9ad7348,Feature,geom,Point,"[-44.57, -2.36]",-44.57,-2.36,GOES-16,Brasil,MARANHÃO,ALCÂNTARA,2021-12-30T18:25:13+00:00,,,
15,focos_ams_24h.a1f4677e-6cee-30d0-bfab-935b777182ad,Feature,geom,Point,"[-61.57, -17.58]",-61.57,-17.58,GOES-16,Bolivia,Santa Cruz,Chiquitos,2021-12-30T18:23:35+00:00,,,
16,focos_ams_24h.4b051c57-c97b-3a6d-8209-346d9a8a3699,Feature,geom,Point,"[-61.59, -17.58]",-61.59,-17.58,GOES-16,Bolivia,Santa Cruz,Chiquitos,2021-12-30T18:23:35+00:00,,,
17,focos_ams_24h.16d5d3de-d2cd-3965-bb6c-88261723f83b,Feature,geom,Point,"[-62.07, -17.71]",-62.07,-17.71,GOES-16,Bolivia,Santa Cruz,Chiquitos,2021-12-30T18:23:33+00:00,,,
18,focos_ams_24h.e86c3a7a-40ef-300e-9767-017aeff87fb0,Feature,geom,Point,"[-61.92, -18.03]",-61.92,-18.03,GOES-16,Bolivia,Santa Cruz,Chiquitos,2021-12-30T18:23:33+00:00,,,
19,focos_ams_24h.17b6be7a-4bbc-34d2-9a02-1b3aae354d5e,Feature,geom,Point,"[-62.03, -17.71]",-62.03,-17.71,GOES-16,Bolivia,Santa Cruz,Chiquitos,2021-12-30T18:23:33+00:00,,,
20,focos_ams_24h.9307ecc1-cd00-3613-9ff3-1d4895bd97b8,Feature,geom,Point,"[-62.03, -17.73]",-62.03,-17.73,GOES-16,Bolivia,Santa Cruz,Chiquitos,2021-12-30T18:23:33+00:00,,,
21,focos_ams_24h.c89d6f27-1bd1-38ef-bae6-e5ca1c468ece,Feature,geom,Point,"[-62.07, -17.73]",-62.07,-17.73,GOES-16,Bolivia,Santa Cruz,Chiquitos,2021-12-30T18:23:33+00:00,,,
22,focos_ams_24h.488a729b-444b-30bd-9fa5-3178db66c585,Feature,geom,Point,"[-56.55, -29.02]",-56.55,-29.02,GOES-16,Argentina,Corrientes,General Alvear,2021-12-30T18:22:30+00:00,,,
23,focos_ams_24h.d6f5d660-2fb8-3eb1-a1a7-143c11fbfe5a,Feature,geom,Point,"[-56.58, -29.02]",-56.58,-29.02,GOES-16,Argentina,Corrientes,General Alvear,2021-12-30T18:22:30+00:00,,,
24,focos_ams_24h.1c4639dd-9153-3753-bb8e-e4c37309dbad,Feature,geom,Point,"[-56.55, -29.04]",-56.55,-29.04,GOES-16,Argentina,Corrientes,General Alvear,2021-12-30T18:22:30+00:00,,,
25,focos_ams_24h.78c3f1c0-68a1-377a-a425-6c2ba026ac64,Feature,geom,Point,"[-56.57, -29.04]",-56.57,-29.04,GOES-16,Argentina,Corrientes,General Alvear,2021-12-30T18:22:30+00:00,,,
26,focos_ams_24h.843ca393-a937-3511-9f73-2ab5ad6384bf,Feature,geom,Point,"[-60.63, -31.75]",-60.63,-31.75,GOES-16,Argentina,Entre Ríos,Paraná,2021-12-30T18:22:14+00:00,,,
27,focos_ams_24h.88333f69-0364-3df1-ad3b-fcfcb0659e29,Feature,geom,Point,"[-57.45, -32.45]",-57.45,-32.45,GOES-16,Uruguay,Río Negro,n.a64,2021-12-30T18:22:11+00:00,,,
28,focos_ams_24h.3dc8608b-d09d-3273-bfe2-67bb739e6635,Feature,geom,Point,"[-57.92, -32.86]",-57.92,-32.86,GOES-16,Uruguay,Río Negro,n.a76,2021-12-30T18:22:08+00:00,,,
29,focos_ams_24h.41345d24-f58b-3df9-9599-550bfd63bf26,Feature,geom,Point,"[-55.79, -34.77]",-55.79,-34.77,GOES-16,Uruguay,Canelones,n.a348,2021-12-30T18:21:58+00:00,,,
30,focos_ams_24h.11890c0d-13b9-3580-99a4-aa811a90c962,Feature,geom,Point,"[-55.8, -34.75]",-55.8,-34.75,GOES-16,Uruguay,Canelones,n.a348,2021-12-30T18:21:58+00:00,,,
31,focos_ams_24h.2cc3edae-3eb1-3d71-a306-eea200b9b0e3,Feature,geom,Point,"[-69.17, 9.51]",-69.17,9.51,GOES-16,Venezuela,Portuguesa,Páez,2021-12-30T18:16:31+00:00,,,
32,focos_ams_24h.9b85c04b-8830-3031-b2c7-0575fc8484c1,Feature,geom,Point,"[-70.96, 5.31]",-70.96,5.31,GOES-16,Colombia,Casanare,Trinidad,2021-12-30T18:16:05+00:00,,,
33,focos_ams_24h.4ab5ddea-7963-3e00-984e-7def6250400c,Feature,geom,Point,"[-71.9, 3.56]",-71.9,3.56,GOES-16,Colombia,Meta,Puerto Gaitán,2021-12-30T18:15:54+00:00,,,
34,focos_ams_24h.7982790d-f793-3b73-9dda-013d39930b3b,Feature,geom,Point,"[-72.86, 3.45]",-72.86,3.45,GOES-16,Colombia,Meta,San Martín,2021-12-30T18:15:51+00:00,,,
35,focos_ams_24h.d13cf2ac-4a47-3a93-937a-296a5c9e8b94,Feature,geom,Point,"[-71.88, 3.52]",-71.88,3.52,GOES-16,Colombia,Meta,Puerto Gaitán,2021-12-30T18:15:51+00:00,,,
36,focos_ams_24h.24fa6a99-9625-36e0-ab2c-bad7c031ed5e,Feature,geom,Point,"[-71.9, 3.52]",-71.9,3.52,GOES-16,Colombia,Meta,Puerto Gaitán,2021-12-30T18:15:51+00:00,,,
37,focos_ams_24h.cf88bb17-f1c5-3983-a632-ae2f324bc19f,Feature,geom,Point,"[-71.9, 3.54]",-71.9,3.54,GOES-16,Colombia,Meta,Puerto Gaitán,2021-12-30T18:15:51+00:00,,,
38,focos_ams_24h.bafeb76f-9af8-3049-ba45-6f1c46cf7f31,Feature,geom,Point,"[-73.56, 2.8]",-73.56,2.8,GOES-16,Colombia,Meta,Vista Hermosa,2021-12-30T18:15:49+00:00,,,
39,focos_ams_24h.a0a30260-3c96-32a5-9f6b-7bef179e3a2c,Feature,geom,Point,"[-73.56, 2.78]",-73.56,2.78,GOES-16,Colombia,Meta,Vista Hermosa,2021-12-30T18:15:49+00:00,,,
40,focos_ams_24h.511d96f6-cc6c-33db-9326-921de74cf4ab,Feature,geom,Point,"[-74.3, 1.45]",-74.3,1.45,GOES-16,Colombia,Caquetá,San Vicente del Caguán,2021-12-30T18:15:38+00:00,,,
41,focos_ams_24h.1c5a45a8-3547-32eb-b81e-4be20f0751f6,Feature,geom,Point,"[-74.28, 1.47]",-74.28,1.47,GOES-16,Colombia,Caquetá,San Vicente del Caguán,2021-12-30T18:15:38+00:00,,,
42,focos_ams_24h.9fbe8895-0fa4-32da-a90f-57b853f67ee1,Feature,geom,Point,"[-74.3, 1.47]",-74.3,1.47,GOES-16,Colombia,Caquetá,San Vicente del Caguán,2021-12-30T18:15:38+00:00,,,
43,focos_ams_24h.a54762f9-09d6-3c1f-bd24-63fd06f86bff,Feature,geom,Point,"[-74.14, 0.57]",-74.14,0.57,GOES-16,Colombia,Caquetá,Cartagena del Chairá,2021-12-30T18:15:33+00:00,,,
44,focos_ams_24h.648a663f-6658-34af-a969-b8288921a26a,Feature,geom,Point,"[-74.1, 0.38]",-74.1,0.38,GOES-16,Colombia,Caquetá,Solano,2021-12-30T18:15:30+00:00,,,
45,focos_ams_24h.4aa7c0d5-a7f9-383d-a04e-632d62f012ad,Feature,geom,Point,"[-70.45, -12.83]",-70.45,-12.83,GOES-16,Peru,Madre de Dios,Manu,2021-12-30T18:14:03+00:00,,,
46,focos_ams_24h.108a9b23-5cbf-3099-95af-53b2cb3bf1b7,Feature,geom,Point,"[-70.43, -12.81]",-70.43,-12.81,GOES-16,Peru,Madre de Dios,Manu,2021-12-30T18:14:03+00:00,,,
47,focos_ams_24h.1bad3c6c-f4f7-37aa-9060-1c076182938e,Feature,geom,Point,"[-62.03, -17.71]",-62.03,-17.71,GOES-16,Bolivia,Santa Cruz,Chiquitos,2021-12-30T18:13:34+00:00,,,
48,focos_ams_24h.81663f6f-129d-3afd-951e-28c6a46693ef,Feature,geom,Point,"[-61.57, -17.58]",-61.57,-17.58,GOES-16,Bolivia,Santa Cruz,Chiquitos,2021-12-30T18:13:34+00:00,,,
49,focos_ams_24h.da2b1a40-7547-3a32-a4ad-2cb6f999c7fe,Feature,geom,Point,"[-62.05, -17.71]",-62.05,-17.71,GOES-16,Bolivia,Santa Cruz,Chiquitos,2021-12-30T18:13:34+00:00,,,
50,focos_ams_24h.77c24476-e9df-31f6-8bd3-e4acf9af24fb,Feature,geom,Point,"[-61.59, -17.58]",-61.59,-17.58,GOES-16,Bolivia,Santa Cruz,Chiquitos,2021-12-30T18:13:34+00:00,,,
51,focos_ams_24h.aac46238-aca5-3f7e-884f-441a1a3fcb2a,Feature,geom,Point,"[-61.92, -18.03]",-61.92,-18.03,GOES-16,Bolivia,Santa Cruz,Chiquitos,2021-12-30T18:13:32+00:00,,,
52,focos_ams_24h.2e70b327-8002-3c2a-81dd-a16d88e91758,Feature,geom,Point,"[-56.57, -29.04]",-56.57,-29.04,GOES-16,Argentina,Corrientes,General Alvear,2021-12-30T18:12:28+00:00,,,
53,focos_ams_24h.baef347f-2a0e-3320-b815-9fa6c1c737a7,Feature,geom,Point,"[-55.79, -34.77]",-55.79,-34.77,GOES-16,Uruguay,Canelones,n.a348,2021-12-30T18:11:59+00:00,,,
54,focos_ams_24h.26b481b2-dae7-3d81-ba66-e397625cde50,Feature,geom,Point,"[-68.98, 8.97]",-68.98,8.97,GOES-16,Venezuela,Portuguesa,Esteller,2021-12-30T18:06:30+00:00,,,
55,focos_ams_24h.ede96471-43b0-3a2a-8778-cda4e724143a,Feature,geom,Point,"[-69.0, 6.7]",-69.0,6.7,GOES-16,Venezuela,Apure,Rómulo Gallegos,2021-12-30T18:06:14+00:00,,,
56,focos_ams_24h.3cbe25ea-ebb7-35c9-8a43-aa9b15d85284,Feature,geom,Point,"[-70.96, 5.31]",-70.96,5.31,GOES-16,Colombia,Casanare,Trinidad,2021-12-30T18:06:03+00:00,,,
57,focos_ams_24h.378674eb-148d-35ec-8456-909a7d4134c4,Feature,geom,Point,"[-73.56, 2.8]",-73.56,2.8,GOES-16,Colombia,Meta,Vista Hermosa,2021-12-30T18:05:48+00:00,,,
58,focos_ams_24h.81cee4d0-ff72-3439-97a4-ce7e5d83be06,Feature,geom,Point,"[-73.56, 2.78]",-73.56,2.78,GOES-16,Colombia,Meta,Vista Hermosa,2021-12-30T18:05:48+00:00,,,
59,focos_ams_24h.99de7673-905c-3219-83e0-56e04ca74e77,Feature,geom,Point,"[-74.3, 1.45]",-74.3,1.45,GOES-16,Colombia,Caquetá,San Vicente del Caguán,2021-12-30T18:05:40+00:00,,,
60,focos_ams_24h.66f3bd58-2075-3f28-8407-e8270893d8a3,Feature,geom,Point,"[-74.3, 1.47]",-74.3,1.47,GOES-16,Colombia,Caquetá,San Vicente del Caguán,2021-12-30T18:05:40+00:00,,,
61,focos_ams_24h.1089730a-3b0f-3038-912e-20ce183ef3a5,Feature,geom,Point,"[-74.1, 0.38]",-74.1,0.38,GOES-16,Colombia,Caquetá,Solano,2021-12-30T18:05:32+00:00,,,
62,focos_ams_24h.eede3923-3c07-3180-bbc0-7adf60cfd02b,Feature,geom,Point,"[-74.14, 0.57]",-74.14,0.57,GOES-16,Colombia,Caquetá,Cartagena del Chairá,2021-12-30T18:05:32+00:00,,,
63,focos_ams_24h.52b58dd9-591d-31ec-ac1d-afdccec188df,Feature,geom,Point,"[-70.43, -12.81]",-70.43,-12.81,GOES-16,Peru,Madre de Dios,Manu,2021-12-30T18:04:05+00:00,,,
64,focos_ams_24h.0758dd07-72e5-33cb-aade-9f26250eef98,Feature,geom,Point,"[-61.57, -17.58]",-61.57,-17.58,GOES-16,Bolivia,Santa Cruz,Chiquitos,2021-12-30T18:03:36+00:00,,,
65,focos_ams_24h.fc279fcf-16ea-347c-adf5-2fed30e4f471,Feature,geom,Point,"[-61.59, -17.58]",-61.59,-17.58,GOES-16,Bolivia,Santa Cruz,Chiquitos,2021-12-30T18:03:36+00:00,,,
66,focos_ams_24h.9faa2fca-62ee-3243-9a35-ab72ffabbdeb,Feature,geom,Point,"[-62.3, -17.4]",-62.3,-17.4,GOES-16,Bolivia,Santa Cruz,Ñuflo de Chávez,2021-12-30T18:03:36+00:00,,,
67,focos_ams_24h.2d32e878-854d-347c-8a52-7ae0c4291690,Feature,geom,Point,"[-56.55, -29.04]",-56.55,-29.04,GOES-16,Argentina,Corrientes,General Alvear,2021-12-30T18:02:27+00:00,,,
68,focos_ams_24h.ee4a9dda-d911-317b-b607-56f9406874a8,Feature,geom,Point,"[-60.63, -31.75]",-60.63,-31.75,GOES-16,Argentina,Entre Ríos,Paraná,2021-12-30T18:02:14+00:00,,,
69,focos_ams_24h.2f1fcf99-be40-3161-9555-56c5d075c3d5,Feature,geom,Point,"[-55.76, -34.77]",-55.76,-34.77,GOES-16,Uruguay,Canelones,n.a348,2021-12-30T18:01:58+00:00,,,
70,focos_ams_24h.21230d6f-1898-3a13-8dd7-75bf6610a0f5,Feature,geom,Point,"[-55.79, -34.77]",-55.79,-34.77,GOES-16,Uruguay,Canelones,n.a348,2021-12-30T18:01:58+00:00,,,
71,focos_ams_24h.dfc8ea24-bfb5-39bb-8382-0ea00feb34f9,Feature,geom,Point,"[-68.25, 9.95]",-68.25,9.95,GOES-16,Venezuela,Cojedes,Falcón,2021-12-30T17:56:34+00:00,,,
72,focos_ams_24h.923ac6f9-ab00-3bdc-bf81-04840f5f2164,Feature,geom,Point,"[-67.93, 9.27]",-67.93,9.27,GOES-16,Venezuela,Cojedes,Pao de San Juan Bautista,2021-12-30T17:56:31+00:00,,,
73,focos_ams_24h.5fa86876-31cb-34a3-8b0d-dd230dd96fc3,Feature,geom,Point,"[-69.96, 5.49]",-69.96,5.49,GOES-16,Colombia,Vichada,La Primavera,2021-12-30T17:56:05+00:00,,,
74,focos_ams_24h.6f7c8837-6949-35f8-98c0-d0dc85e0d9ec,Feature,geom,Point,"[-56.55, -29.04]",-56.55,-29.04,GOES-16,Argentina,Corrientes,General Alvear,2021-12-30T17:52:29+00:00,,,
75,focos_ams_24h.4beda245-f738-3289-974b-f8fc9cb9e310,Feature,geom,Point,"[-56.57, -29.04]",-56.57,-29.04,GOES-16,Argentina,Corrientes,General Alvear,2021-12-30T17:52:29+00:00,,,
76,focos_ams_24h.7aabc9e6-7a80-3ef4-bdf3-4899e950feee,Feature,geom,Point,"[-60.63, -31.75]",-60.63,-31.75,GOES-16,Argentina,Entre Ríos,Paraná,2021-12-30T17:52:13+00:00,,,
77,focos_ams_24h.67349929-d180-3961-a902-611ca6ec0276,Feature,geom,Point,"[-55.76, -34.77]",-55.76,-34.77,GOES-16,Uruguay,Canelones,n.a348,2021-12-30T17:52:00+00:00,,,
78,focos_ams_24h.baa491fe-e93b-3c52-9289-a368b8b1494e,Feature,geom,Point,"[-55.79, -34.77]",-55.79,-34.77,GOES-16,Uruguay,Canelones,n.a348,2021-12-30T17:52:00+00:00,,,
79,focos_ams_24h.40f20f92-02a5-3b6a-a976-4f1c39da35fc,Feature,geom,Point,"[-55.8, -34.75]",-55.8,-34.75,GOES-16,Uruguay,Canelones,n.a348,2021-12-30T17:52:00+00:00,,,
80,focos_ams_24h.5694934b-8362-353f-b623-cdf2e5dcfdcc,Feature,geom,Point,"[-68.56, 6.6]",-68.56,6.6,GOES-16,Venezuela,Apure,Achaguas,2021-12-30T17:46:14+00:00,,,
81,focos_ams_24h.787c862c-04f1-3ee3-89eb-b8019a652454,Feature,geom,Point,"[-68.58, 6.6]",-68.58,6.6,GOES-16,Venezuela,Apure,Achaguas,2021-12-30T17:46:14+00:00,,,
82,focos_ams_24h.4bb39a5f-8546-36b3-afee-c69a62a184d0,Feature,geom,Point,"[-70.76, 5.53]",-70.76,5.53,GOES-16,Colombia,Casanare,Paz de Ariporo,2021-12-30T17:46:06+00:00,,,
83,focos_ams_24h.082b10b2-4525-3477-855b-f10585c0838a,Feature,geom,Point,"[-71.9, 3.56]",-71.9,3.56,GOES-16,Colombia,Meta,Puerto Gaitán,2021-12-30T17:45:53+00:00,,,
84,focos_ams_24h.6bbb05de-87d8-3ca6-8058-892bceb22737,Feature,geom,Point,"[-74.1, 0.38]",-74.1,0.38,GOES-16,Colombia,Caquetá,Solano,2021-12-30T17:45:32+00:00,,,
85,focos_ams_24h.6b0d9ff2-a530-3e2f-b55f-bb659ad6237c,Feature,geom,Point,"[-40.35, -3.05]",-40.35,-3.05,GOES-16,Brasil,CEARÁ,BELA CRUZ,2021-12-30T17:45:08+00:00,,,
86,focos_ams_24h.cb1aef67-e5da-37fa-aabb-8226bd519104,Feature,geom,Point,"[-42.62, -12.33]",-42.62,-12.33,GOES-16,Brasil,BAHIA,OLIVEIRA DOS BREJINHOS,2021-12-30T17:44:10+00:00,,,
87,focos_ams_24h.af58b7ff-02e4-3c7f-9fd3-18ba67ada2d0,Feature,geom,Point,"[-68.56, 6.6]",-68.56,6.6,GOES-16,Venezuela,Apure,Achaguas,2021-12-30T17:36:13+00:00,,,
88,focos_ams_24h.f0928db0-9800-3cec-b4e7-1cb8ba911b9e,Feature,geom,Point,"[-73.89, 1.44]",-73.89,1.44,GOES-16,Colombia,Caquetá,San Vicente del Caguán,2021-12-30T17:35:39+00:00,,,
89,focos_ams_24h.dc391607-458f-3985-9cd1-0337f00e1fd9,Feature,geom,Point,"[-73.87, 1.44]",-73.87,1.44,GOES-16,Colombia,Caquetá,San Vicente del Caguán,2021-12-30T17:35:39+00:00,,,
90,focos_ams_24h.fa1f897c-cb1e-387a-afa9-5c1ad934166d,Feature,geom,Point,"[-54.46, -2.26]",-54.46,-2.26,GOES-16,Brasil,PARÁ,SANTARÉM,2021-12-30T17:35:15+00:00,,,
91,focos_ams_24h.898fdcde-f7ef-3d7f-a5a2-93b8b4c2309e,Feature,geom,Point,"[-42.6, -12.31]",-42.6,-12.31,GOES-16,Brasil,BAHIA,OLIVEIRA DOS BREJINHOS,2021-12-30T17:34:09+00:00,,,
92,focos_ams_24h.a77a4c09-d313-3012-a268-63795c5e6f0a,Feature,geom,Point,"[-42.59, -12.33]",-42.59,-12.33,GOES-16,Brasil,BAHIA,OLIVEIRA DOS BREJINHOS,2021-12-30T17:34:09+00:00,,,
93,focos_ams_24h.68d5c698-2712-34ce-916a-a82268f6a088,Feature,geom,Point,"[-68.52, 6.67]",-68.52,6.67,GOES-16,Venezuela,Apure,Achaguas,2021-12-30T17:26:15+00:00,,,
94,focos_ams_24h.66f0f9d4-140f-31e1-914e-dcdf3f0573d3,Feature,geom,Point,"[-71.05, 5.4]",-71.05,5.4,GOES-16,Colombia,Casanare,Trinidad,2021-12-30T17:26:04+00:00,,,
95,focos_ams_24h.e8f3d000-d2ee-3d60-a4b7-392d1a90b56f,Feature,geom,Point,"[-70.77, 4.82]",-70.77,4.82,GOES-16,Colombia,Vichada,Santa Rosalía,2021-12-30T17:26:01+00:00,,,
96,focos_ams_24h.7ed2e851-b6b4-3fa7-93b5-4da51a300278,Feature,geom,Point,"[-74.1, 0.38]",-74.1,0.38,GOES-16,Colombia,Caquetá,Solano,2021-12-30T17:25:32+00:00,,,
97,focos_ams_24h.2f9c3e29-0cff-3894-8cd0-6798adf18cb7,Feature,geom,Point,"[-74.14, 0.53]",-74.14,0.53,GOES-16,Colombia,Caquetá,Cartagena del Chairá,2021-12-30T17:25:32+00:00,,,
98,focos_ams_24h.c196e497-7aa3-3caf-bffd-939ed1828ebb,Feature,geom,Point,"[-54.46, -2.28]",-54.46,-2.28,GOES-16,Brasil,PARÁ,SANTARÉM,2021-12-30T17:25:14+00:00,,,
99,focos_ams_24h.7970b03f-865e-351c-95ce-346004cb3d8b,Feature,geom,Point,"[-54.46, -2.26]",-54.46,-2.26,GOES-16,Brasil,PARÁ,SANTARÉM,2021-12-30T17:25:14+00:00,,,
100,focos_ams_24h.27faffc8-bf7f-3339-8e44-e79096f616c7,Feature,geom,Point,"[-42.59, -12.33]",-42.59,-12.33,GOES-16,Brasil,BAHIA,OLIVEIRA DOS BREJINHOS,2021-12-30T17:24:11+00:00,,,
101,focos_ams_24h.5a285429-d18d-3970-8f33-2534cbc20b7c,Feature,geom,Point,"[-42.6, -12.31]",-42.6,-12.31,GOES-16,Brasil,BAHIA,OLIVEIRA DOS BREJINHOS,2021-12-30T17:24:11+00:00,,,
102,focos_ams_24h.cf5ea24b-2f07-3a50-a9e0-ae5aeaae249c,Feature,geom,Point,"[-68.68, 8.93]",-68.68,8.93,GOES-16,Venezuela,Portuguesa,Santa Rosalía,2021-12-30T17:16:29+00:00,,,
103,focos_ams_24h.ff7a09fe-4cad-3327-917d-937f0d8920cb,Feature,geom,Point,"[-68.27, 6.6]",-68.27,6.6,GOES-16,Venezuela,Apure,Achaguas,2021-12-30T17:16:13+00:00,,,
104,focos_ams_24h.d18bd1e8-5109-3a7f-9249-981a6598c333,Feature,geom,Point,"[-68.52, 6.67]",-68.52,6.67,GOES-16,Venezuela,Apure,Achaguas,2021-12-30T17:16:13+00:00,,,
105,focos_ams_24h.3ffeab2e-60f7-3827-b44d-972f1ae9426c,Feature,geom,Point,"[-68.52, 6.69]",-68.52,6.69,GOES-16,Venezuela,Apure,Achaguas,2021-12-30T17:16:13+00:00,,,
106,focos_ams_24h.4c69f0f8-23a6-36c7-bbb2-47ba100108bc,Feature,geom,Point,"[-71.9, 3.54]",-71.9,3.54,GOES-16,Colombia,Meta,Puerto Gaitán,2021-12-30T17:15:52+00:00,,,
107,focos_ams_24h.35052475-f822-3fe6-b9c5-4b31b4cc9c98,Feature,geom,Point,"[-74.21, 1.51]",-74.21,1.51,GOES-16,Colombia,Caquetá,San Vicente del Caguán,2021-12-30T17:15:39+00:00,,,
108,focos_ams_24h.7e26459d-dc9e-3bd2-bfa0-a012d189dd17,Feature,geom,Point,"[-73.94, 1.47]",-73.94,1.47,GOES-16,Colombia,Caquetá,San Vicente del Caguán,2021-12-30T17:15:39+00:00,,,
109,focos_ams_24h.df0bb13a-3ed4-37af-b158-a51f9732e51d,Feature,geom,Point,"[-74.21, 1.49]",-74.21,1.49,GOES-16,Colombia,Caquetá,San Vicente del Caguán,2021-12-30T17:15:39+00:00,,,
110,focos_ams_24h.c59d057f-405b-31cf-8c44-4dbdaeababfa,Feature,geom,Point,"[-74.19, 1.51]",-74.19,1.51,GOES-16,Colombia,Caquetá,San Vicente del Caguán,2021-12-30T17:15:39+00:00,,,
111,focos_ams_24h.930244ba-2098-38aa-8d96-105d1edf07bc,Feature,geom,Point,"[-74.14, 0.55]",-74.14,0.55,GOES-16,Colombia,Caquetá,Cartagena del Chairá,2021-12-30T17:15:34+00:00,,,
112,focos_ams_24h.a8f6e5d3-fc22-3eee-a5d7-55d10b4e3f4f,Feature,geom,Point,"[-53.49, -1.44]",-53.49,-1.44,GOES-16,Brasil,PARÁ,PRAINHA,2021-12-30T17:15:21+00:00,,,
113,focos_ams_24h.669618fb-52ba-3005-a7dc-b317980338fa,Feature,geom,Point,"[-42.6, -12.31]",-42.6,-12.31,GOES-16,Brasil,BAHIA,OLIVEIRA DOS BREJINHOS,2021-12-30T17:14:09+00:00,,,
114,focos_ams_24h.82e8b307-f19d-3a57-b8dc-b50cdf4708e3,Feature,geom,Point,"[-42.62, -12.31]",-42.62,-12.31,GOES-16,Brasil,BAHIA,OLIVEIRA DOS BREJINHOS,2021-12-30T17:14:09+00:00,,,
115,focos_ams_24h.54ef68e4-58d0-3b6d-b01d-21845d1e4ea9,Feature,geom,Point,"[-68.52, 6.69]",-68.52,6.69,GOES-16,Venezuela,Apure,Achaguas,2021-12-30T17:06:15+00:00,,,
116,focos_ams_24h.23a18bc5-93aa-3e78-af4a-49d38cafd74b,Feature,geom,Point,"[-68.31, 4.89]",-68.31,4.89,GOES-16,Colombia,Vichada,Santa Rita,2021-12-30T17:06:02+00:00,,,
117,focos_ams_24h.17a326b6-919b-35fa-ade2-73ef03567eb9,Feature,geom,Point,"[-68.33, 4.89]",-68.33,4.89,GOES-16,Colombia,Vichada,Santa Rita,2021-12-30T17:06:02+00:00,,,
118,focos_ams_24h.63e2d6b5-0bb8-34a7-9fa5-654a55bfe605,Feature,geom,Point,"[-70.77, 4.82]",-70.77,4.82,GOES-16,Colombia,Vichada,Santa Rosalía,2021-12-30T17:06:02+00:00,,,
